ID,Slug,Name,Sector,Subsector,Province,Location,Stage,CapexCAD,CapexStatus,Buildability,BuildabilityCoverage,Confidence
8703f959-5c23-5433-a972-a7fbae86cb03,jansen,Jansen,Mining & Metals,Mining & mineral development,SK,Jansen,CONSTRUCTION,6650000000,REPORTED,95.0,15.0,REPORTED
879500a1-d765-5a59-9fc4-a60df9c89788,springpole-lake-gold-project,Springpole Lake Gold Project,Mining & Metals,Mining & mineral development,ON,Uchi Lake,ANNOUNCED,957700000,REPORTED,20.0,15.0,REPORTED
8820c06d-387a-5e73-bc47-e663648a9399,sepiko-kesik-project,Sepiko Kesik Project,Energy & Fuels,Energy infrastructure,AB,Municipal District of Opportunity,ANNOUNCED,3200000000,REPORTED,20.0,15.0,REPORTED
88259d27-df57-50b1-9fe0-5449847b4582,greenlight-electricity-centre,Greenlight Electricity Centre,Energy & Fuels,Energy infrastructure,AB,Sturgeon County,ANNOUNCED,4500000000,REPORTED,20.0,15.0,REPORTED
89683c77-3fde-5bfc-b2a7-909535ce18fb,eskay-creek-mine,Eskay Creek Mine,Mining & Metals,Mining & mineral development,BC,Stewart,ANNOUNCED,713000000,REPORTED,20.0,15.0,REPORTED
8c5a508f-0fd1-5138-bcdd-a63c67fe770d,windfall,Windfall,Mining & Metals,Mining & mineral development,QC,Eeyou Istchee Baie-James,ANNOUNCED,788600000,REPORTED,20.0,15.0,REPORTED
8dbba10c-52e5-5585-8d33-d2f76a014729,howse-property-direct-shipping-ore-mine,Howse Property Direct Shipping Ore Mine,Mining & Metals,Mining & mineral development,NL,Menihek,ANNOUNCED,100000000,REPORTED,20.0,15.0,REPORTED
8dbf4c83-27d8-5f4f-8167-984089c2912c,in-stream-tidal-demonstration-project,In-Stream Tidal Demonstration Project,Clean Energy & Grid,Tidal,NS,Bay of Fundy,ANNOUNCED,23300000,REPORTED,20.0,15.0,REPORTED
90327059-25b8-56c2-a167-dcee9b284d6a,west-cache,West Cache,Mining & Metals,Mining & mineral development,ON,15 km WSW of Timmins,ANNOUNCED,150000000,REPORTED,20.0,15.0,REPORTED
9132bb33-36b5-5a07-8c3d-f88d09dda967,peace-river-energy-project,Peace River Energy Project,Clean Energy & Grid,Solar,AB,Peace River,CONSTRUCTION,11000000,REPORTED,95.0,15.0,REPORTED
